agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,8069000,60,134260,1968,10,71.1
USGS,8069000,60,134260,1968,11,174.2
USGS,8069000,60,134260,1968,12,273.5
USGS,8069000,60,134260,1969,1,37.2
USGS,8069000,60,134260,1969,2,807.9
USGS,8069000,60,134260,1969,3,218.7
USGS,8069000,60,134260,1969,4,63.6
USGS,8069000,60,134260,1969,5,234.1
USGS,8069000,60,134260,1969,6,13.9
USGS,8069000,60,134260,1969,7,17.3
USGS,8069000,60,134260,1969,8,14.8
USGS,8069000,60,134260,1969,9,27.1
USGS,8069000,60,134260,1969,10,10.4
USGS,8069000,60,134260,1969,11,46.2
USGS,8069000,60,134260,1969,12,40.1
USGS,8069000,60,134260,1970,1,25.4
USGS,8069000,60,134260,1970,2,23.4
USGS,8069000,60,134260,1970,3,212
USGS,8069000,60,134260,1970,4,122.9
USGS,8069000,60,134260,1970,5,199.4
USGS,8069000,60,134260,1970,6,46.3
USGS,8069000,60,134260,1970,7,16.2
USGS,8069000,60,134260,1970,8,6.79
USGS,8069000,60,134260,1970,9,42.2
USGS,8069000,60,134260,1970,10,541.2
USGS,8069000,60,134260,1970,11,66.7
USGS,8069000,60,134260,1970,12,4.22
USGS,8069000,60,134260,1971,1,1.86
USGS,8069000,60,134260,1971,2,4.63
USGS,8069000,60,134260,1971,3,1.27
USGS,8069000,60,134260,1971,4,10.3
USGS,8069000,60,134260,1971,5,45
USGS,8069000,60,134260,1971,6,4.21
USGS,8069000,60,134260,1971,7,6.32
USGS,8069000,60,134260,1971,8,81.4
USGS,8069000,60,134260,1971,9,53.2
USGS,8069000,60,134260,1971,10,37.3
USGS,8069000,60,134260,1971,11,4.76
USGS,8069000,60,134260,1971,12,290
USGS,8069000,60,134260,1972,1,85
USGS,8069000,60,134260,1972,2,85.2
USGS,8069000,60,134260,1972,3,96.9
USGS,8069000,60,134260,1972,4,25.4
USGS,8069000,60,134260,1972,5,1157
USGS,8069000,60,134260,1972,6,163
USGS,8069000,60,134260,1972,7,29.4
USGS,8069000,60,134260,1972,8,16.8
USGS,8069000,60,134260,1972,9,23.9
USGS,8069000,60,134260,1972,10,71.6
USGS,8069000,60,134260,1972,11,288.2
USGS,8069000,60,134260,1972,12,53.4
USGS,8069000,60,134260,1973,1,269.6
USGS,8069000,60,134260,1973,2,452.6
USGS,8069000,60,134260,1973,3,380
USGS,8069000,60,134260,1973,4,1133
USGS,8069000,60,134260,1973,5,89.6
USGS,8069000,60,134260,1973,6,1086
USGS,8069000,60,134260,1973,7,133.7
USGS,8069000,60,134260,1973,8,100.2
USGS,8069000,60,134260,1973,9,335.2
USGS,8069000,60,134260,1973,10,926.7
USGS,8069000,60,134260,1973,11,145.8
USGS,8069000,60,134260,1973,12,325.3
USGS,8069000,60,134260,1974,1,826.4
USGS,8069000,60,134260,1974,2,68.1
USGS,8069000,60,134260,1974,3,122.7
USGS,8069000,60,134260,1974,4,17.5
USGS,8069000,60,134260,1974,5,168.8
USGS,8069000,60,134260,1974,6,14.1
USGS,8069000,60,134260,1974,7,40.6
USGS,8069000,60,134260,1974,8,85
USGS,8069000,60,134260,1974,9,693.6
USGS,8069000,60,134260,1974,10,72.6
USGS,8069000,60,134260,1974,11,717.8
USGS,8069000,60,134260,1974,12,483.2
USGS,8069000,60,134260,1975,1,138.9
USGS,8069000,60,134260,1975,2,301.9
USGS,8069000,60,134260,1975,3,102.8
USGS,8069000,60,134260,1975,4,848
USGS,8069000,60,134260,1975,5,327
USGS,8069000,60,134260,1975,6,302.8
USGS,8069000,60,134260,1975,7,105.1
USGS,8069000,60,134260,1975,8,64.8
USGS,8069000,60,134260,1975,9,24
USGS,8069000,60,134260,1975,10,81.6
USGS,8069000,60,134260,1975,11,47.5
USGS,8069000,60,134260,1975,12,97
USGS,8069000,60,134260,1976,1,14.7
USGS,8069000,60,134260,1976,2,7.07
USGS,8069000,60,134260,1976,3,18.7
USGS,8069000,60,134260,1976,4,21.6
USGS,8069000,60,134260,1976,5,48.2
USGS,8069000,60,134260,1976,6,285.7
USGS,8069000,60,134260,1976,7,143.3
USGS,8069000,60,134260,1976,8,14.2
USGS,8069000,60,134260,1976,9,283.9
USGS,8069000,60,134260,1976,10,274.9
USGS,8069000,60,134260,1976,11,94.1
USGS,8069000,60,134260,1976,12,721.2
USGS,8069000,60,134260,1977,1,152.1
USGS,8069000,60,134260,1977,2,287.4
USGS,8069000,60,134260,1977,3,21
USGS,8069000,60,134260,1977,4,528.7
USGS,8069000,60,134260,1977,5,60.3
USGS,8069000,60,134260,1977,6,79.8
USGS,8069000,60,134260,1977,7,24.9
USGS,8069000,60,134260,1977,8,13.5
USGS,8069000,60,134260,1977,9,63
USGS,8069000,60,134260,1977,10,10.5
USGS,8069000,60,134260,1977,11,26.7
USGS,8069000,60,134260,1977,12,19.6
USGS,8069000,60,134260,1978,1,326.9
USGS,8069000,60,134260,1978,2,269.2
USGS,8069000,60,134260,1978,3,28.2
USGS,8069000,60,134260,1978,4,10.2
USGS,8069000,60,134260,1978,5,18.8
USGS,8069000,60,134260,1978,6,507.6
USGS,8069000,60,134260,1978,7,39.9
USGS,8069000,60,134260,1978,8,25.6
USGS,8069000,60,134260,1978,9,183
USGS,8069000,60,134260,1978,10,15.3
USGS,8069000,60,134260,1978,11,233
USGS,8069000,60,134260,1978,12,148
USGS,8069000,60,134260,1979,1,1168
USGS,8069000,60,134260,1979,2,614.1
USGS,8069000,60,134260,1979,3,141.4
USGS,8069000,60,134260,1979,4,812.6
USGS,8069000,60,134260,1979,5,546.9
USGS,8069000,60,134260,1979,6,327.1
USGS,8069000,60,134260,1979,7,211.9
USGS,8069000,60,134260,1979,8,48.4
USGS,8069000,60,134260,1979,9,826.6
USGS,8069000,60,134260,1979,10,64
USGS,8069000,60,134260,1979,11,378.9
USGS,8069000,60,134260,1979,12,261.4
USGS,8069000,60,134260,1980,1,518.6
USGS,8069000,60,134260,1980,2,400.8
USGS,8069000,60,134260,1980,3,117.5
USGS,8069000,60,134260,1980,4,35.4
USGS,8069000,60,134260,1980,5,277.4
USGS,8069000,60,134260,1980,6,42.8
USGS,8069000,60,134260,1980,7,31.6
USGS,8069000,60,134260,1980,8,20.7
USGS,8069000,60,134260,1980,9,104.1
USGS,8069000,60,134260,1980,10,392.6
USGS,8069000,60,134260,1980,11,50.4
USGS,8069000,60,134260,1980,12,42.9
USGS,8069000,60,134260,1981,1,90
USGS,8069000,60,134260,1981,2,37.1
USGS,8069000,60,134260,1981,3,40.7
USGS,8069000,60,134260,1981,4,93.4
USGS,8069000,60,134260,1981,5,360.2
USGS,8069000,60,134260,1981,6,369.9
USGS,8069000,60,134260,1981,7,310.4
USGS,8069000,60,134260,1981,8,86.3
USGS,8069000,60,134260,1981,9,441.1
USGS,8069000,60,134260,1981,10,86.5
USGS,8069000,60,134260,1981,11,108.7
USGS,8069000,60,134260,1981,12,93.8
USGS,8069000,60,134260,1982,1,33.8
USGS,8069000,60,134260,1982,2,33.5
USGS,8069000,60,134260,1982,3,28.2
USGS,8069000,60,134260,1982,4,79
USGS,8069000,60,134260,1982,5,775.5
USGS,8069000,60,134260,1982,6,28.6
USGS,8069000,60,134260,1982,7,42.2
USGS,8069000,60,134260,1982,8,45.8
USGS,8069000,60,134260,1982,9,24.4
USGS,8069000,60,134260,1982,10,124.2
USGS,8069000,60,134260,1982,11,500.7
USGS,8069000,60,134260,1982,12,320.6
USGS,8069000,60,134260,1983,1,155.8
USGS,8069000,60,134260,1983,2,523.7
USGS,8069000,60,134260,1983,3,258.7
USGS,8069000,60,134260,1983,4,50.6
USGS,8069000,60,134260,1983,5,783.4
USGS,8069000,60,134260,1983,6,196.4
USGS,8069000,60,134260,1983,7,251
USGS,8069000,60,134260,1983,8,499.7
USGS,8069000,60,134260,1983,9,220.9
USGS,8069000,60,134260,1983,10,40.6
USGS,8069000,60,134260,1983,11,67.9
USGS,8069000,60,134260,1983,12,187.8
USGS,8069000,60,134260,1984,1,83.6
USGS,8069000,60,134260,1984,2,171.6
USGS,8069000,60,134260,1984,3,116.2
USGS,8069000,60,134260,1984,4,43.5
USGS,8069000,60,134260,1984,5,90.8
USGS,8069000,60,134260,1984,6,35.9
USGS,8069000,60,134260,1984,7,87.6
USGS,8069000,60,134260,1984,8,43.6
USGS,8069000,60,134260,1984,9,46
USGS,8069000,60,134260,1984,10,491.2
USGS,8069000,60,134260,1984,11,102.1
USGS,8069000,60,134260,1984,12,48.7
USGS,8069000,60,134260,1985,1,74.5
USGS,8069000,60,134260,1985,2,279.9
USGS,8069000,60,134260,1985,3,398
USGS,8069000,60,134260,1985,4,81.9
USGS,8069000,60,134260,1985,5,31.5
USGS,8069000,60,134260,1985,6,253.8
USGS,8069000,60,134260,1985,7,77.7
USGS,8069000,60,134260,1985,8,54
USGS,8069000,60,134260,1985,9,72
USGS,8069000,60,134260,1985,10,169.9
USGS,8069000,60,134260,1985,11,523.7
USGS,8069000,60,134260,1985,12,378.7
USGS,8069000,60,134260,1986,1,35.3
USGS,8069000,60,134260,1986,2,173.1
USGS,8069000,60,134260,1986,3,32.5
USGS,8069000,60,134260,1986,4,33.2
USGS,8069000,60,134260,1986,5,97
USGS,8069000,60,134260,1986,6,541.4
USGS,8069000,60,134260,1986,7,33.9
USGS,8069000,60,134260,1986,8,49.6
USGS,8069000,60,134260,1986,9,133.4
USGS,8069000,60,134260,1986,10,203.5
USGS,8069000,60,134260,1986,11,169.1
USGS,8069000,60,134260,1986,12,599.3
USGS,8069000,60,134260,1987,1,199.9
USGS,8069000,60,134260,1987,2,210.8
USGS,8069000,60,134260,1987,3,106.2
USGS,8069000,60,134260,1987,4,25
USGS,8069000,60,134260,1987,5,86.6
USGS,8069000,60,134260,1987,6,869
USGS,8069000,60,134260,1987,7,217.4
USGS,8069000,60,134260,1987,8,43.6
USGS,8069000,60,134260,1987,9,46.7
USGS,8069000,60,134260,1987,10,24
USGS,8069000,60,134260,1987,11,488.6
USGS,8069000,60,134260,1987,12,368.3
USGS,8069000,60,134260,1988,1,76.9
USGS,8069000,60,134260,1988,2,55.6
USGS,8069000,60,134260,1988,3,105.1
USGS,8069000,60,134260,1988,4,40
USGS,8069000,60,134260,1988,5,39.5
USGS,8069000,60,134260,1988,6,36.4
USGS,8069000,60,134260,1988,7,60.1
USGS,8069000,60,134260,1988,8,49.5
USGS,8069000,60,134260,1988,9,32.7
USGS,8069000,60,134260,1988,10,32.8
USGS,8069000,60,134260,1988,11,27.1
USGS,8069000,60,134260,1988,12,39.6
USGS,8069000,60,134260,1989,1,128.7
USGS,8069000,60,134260,1989,2,43.2
USGS,8069000,60,134260,1989,3,89.5
USGS,8069000,60,134260,1989,4,40.8
USGS,8069000,60,134260,1989,5,769.7
USGS,8069000,60,134260,1989,6,501.1
USGS,8069000,60,134260,1989,7,63.4
USGS,8069000,60,134260,1989,8,95.2
USGS,8069000,60,134260,1989,9,74.8
USGS,8069000,60,134260,1989,10,43.5
USGS,8069000,60,134260,1989,11,32.1
USGS,8069000,60,134260,1989,12,31.1
USGS,8069000,60,134260,1990,1,65.8
USGS,8069000,60,134260,1990,2,197.3
USGS,8069000,60,134260,1990,3,111.5
USGS,8069000,60,134260,1990,4,173.9
USGS,8069000,60,134260,1990,5,181.6
USGS,8069000,60,134260,1990,6,43.6
USGS,8069000,60,134260,1990,7,96.3
USGS,8069000,60,134260,1990,8,44.7
USGS,8069000,60,134260,1990,9,63.1
USGS,8069000,60,134260,1990,10,88.3
USGS,8069000,60,134260,1990,11,72.2
USGS,8069000,60,134260,1990,12,46.9
USGS,8069000,60,134260,1991,1,935.7
USGS,8069000,60,134260,1991,2,228.8
USGS,8069000,60,134260,1991,3,74.8
USGS,8069000,60,134260,1991,4,985.3
USGS,8069000,60,134260,1991,5,114.8
USGS,8069000,60,134260,1991,6,240.7
USGS,8069000,60,134260,1991,7,69.4
USGS,8069000,60,134260,1991,8,44.9
USGS,8069000,60,134260,1991,9,112.1
USGS,8069000,60,134260,1991,10,46
USGS,8069000,60,134260,1991,11,212.7
USGS,8069000,60,134260,1991,12,930.6
USGS,8069000,60,134260,1992,1,764.4
USGS,8069000,60,134260,1992,2,1322
USGS,8069000,60,134260,1992,3,515.5
USGS,8069000,60,134260,1992,4,594
USGS,8069000,60,134260,1992,5,325.3
USGS,8069000,60,134260,1992,6,1141
USGS,8069000,60,134260,1992,7,187.2
USGS,8069000,60,134260,1992,8,88.1
USGS,8069000,60,134260,1992,9,41.5
USGS,8069000,60,134260,1992,10,40.4
USGS,8069000,60,134260,1992,11,159
USGS,8069000,60,134260,1992,12,175.9
USGS,8069000,60,134260,1993,1,480.8
USGS,8069000,60,134260,1993,2,128
USGS,8069000,60,134260,1993,3,516.2
USGS,8069000,60,134260,1993,4,507.3
USGS,8069000,60,134260,1993,5,1059
USGS,8069000,60,134260,1993,6,1093
USGS,8069000,60,134260,1993,7,68
USGS,8069000,60,134260,1993,8,81.2
USGS,8069000,60,134260,1993,9,46.5
USGS,8069000,60,134260,1993,10,108.3
USGS,8069000,60,134260,1993,11,134.7
USGS,8069000,60,134260,1993,12,59
USGS,8069000,60,134260,1994,1,65.8
USGS,8069000,60,134260,1994,2,386.5
USGS,8069000,60,134260,1994,3,151.5
USGS,8069000,60,134260,1994,4,65.3
USGS,8069000,60,134260,1994,5,315.8
USGS,8069000,60,134260,1994,6,116.9
USGS,8069000,60,134260,1994,7,37.7
